Grade,Unit,Chapter,ChapterName,Spanish Chapter Name,ChapterDescription,ChapterDescriptionStident,ChapterDescriptionStidentSpanish
6,2,4,The Sun and Your Home,El Sol y tu Hogar,"The lessons now move on to investigating solar orientation and how the angle of the Sun impacts the heating and cooling of passive solar buildings. Applying the concepts learned so far, the students create detailed designs for their passive solar homes. They then proceed to build models of their homes. Testing is important to show the effectiveness of their designs. Students showcase their homes during a gallery walk. The Unit Concept Checkpoint #2 helps to assess understanding of the unit's main concepts.","This chapter takes us on a journey into the realm of solar orientation and its effects on heating and cooling in passive solar buildings. Using what you've learned, you'll get to put these ideas into action by creating designs for your own solar homes. But it doesn't stop there - you'll then transform your designs into 3D models. Testing your design's effectiveness will show you firsthand how the Sun's angle can impact heating and cooling. At the end, you'll display your home models in a gallery walk, sharing your ideas with your classmates. Get ready to transform from a student into an architect and a solar scientist.","Este capítulo nos lleva en un viaje al reino de la orientación solar y sus efectos en la calefacción y refrigeración en edificios de energía solar pasiva. Usando lo que has aprendido, podrás poner en acción estas ideas creando diseños para tus propias casas solares. Pero no se detiene ahí, luego transformarás tus diseños en modelos 3D. La prueba de la efectividad de tu diseño te mostrará de primera mano cómo el ángulo del sol puede afectar la calefacción y refrigeración. Al final, exhibirás tus modelos de hogar en una galería para compartir tus ideas con tus compañeros de clase. Prepárate para transformarte de un estudiante a un arquitecto y científico solar."
6,2,5,School Redesign,Rediseño Escolar,Students now apply what they have learned about passive home design to suggest design improvements for different rooms and buildings in their school. Student teams use their communication skills to present their recommendations to the class and possibly to school officials.,"In this chapter, you'll learn how to use your newfound knowledge of passive home design to suggest improvements to various rooms and buildings in your own school. You&rsquo;ll get the chance to form a team and explore the school looking for opportunities to use passive solar home design to conserve energy. ""What if we replaced this wall with a large window, or what if we used window awnings to keep this building cool during summer?"" Those are the types of design improvements you can suggest as you present your innovative recommendations to the class and maybe even the principal! Get ready to transform your school into a model of energy efficiency.","En este capítulo, aprenderás a usar tus nuevos conocimientos sobre el diseño de hogares pasivos para sugerir mejoras en varias habitaciones y edificios de tu propia escuela. Tendrás la oportunidad de formar un equipo y explorar la escuela en busca de oportunidades para usar el diseño de hogares solares pasivos para ahorrar energía. ""¿Qué pasaría si reemplazamos esta pared con una ventana grande? ¿Qué pasaría si usamos toldos para mantener este edificio fresco durante el verano?"" Esos son los tipos de mejoras de diseño que podrás sugerir al presentar tus recomendaciones innovadoras a la clase y tal vez incluso al director. Prepárate para transformar tu escuela en un modelo de eficiencia energética."
6,2,6,Reducing Home Energy Use,Reduciendo el Uso de Energía en el Hogar,"These lessons focus on analyzing and evaluating students' home energy conservation designs. Students compare their own designs with those of their peers. Student groups then develop presentations summarizing their results and findings, including recommendations for successfully reducing energy use in a community. They present their work to the class, and potentially film the presentations for sharing with parents. The final assessment demonstrates their understanding of the relationship between energy transfer, types of matter, and the resulting temperature changes. Afterwards, there is time for discussion and reflection.","In our final chapter, it's all about showcasing your home energy conservation plans. You'll have some time to delve into the data you've gathered and draw conclusions about what worked and what didn't. The key moment will be sharing your insights with the class, not just about your findings, but about the journey you took to get there. This chapter isn't just about wrapping up our unit, it's about celebrating your hard work and the valuable lessons you've learned about energy conservation. Prepare to step up and share your journey into the world of energy conservation at home.","En nuestro capítulo final, se trata de mostrar tus planes de conservación de energía en el hogar. Tendrás tiempo para analizar los datos que has recopilado y sacar conclusiones sobre lo que funcionó y lo que no. El momento clave será compartir tus ideas con la clase, no solo sobre tus hallazgos, sino sobre el viaje que tomaste para llegar allí. Este capítulo no se trata solo de cerrar nuestra unidad, se trata de celebrar tu arduo trabajo y las valiosas lecciones que has aprendido sobre la conservación de energía. Prepárate para compartir tu viaje al mundo de la conservación de energía en el hogar."
6,3,1,Introduction and Weather Data,Introducción y Datos Meteorológicos,"In this chapter, students are introduced to the unit challenge of creating a story about weather and climate extremes. They share weather stories and determine the difference between climate and weather. Satellite imagery and surface observation maps are studied to understand weather events. Students graph data to identify patterns and possible cause-and-effect relationships. They consider the impact of climate change, and start deciding which cities they will adopt for their project, learning how to analyze real-time data. ","Welcome to the start of a unit on weather and climate. Your mission, should you choose to accept it, is to create a fascinating story that can warn and protect a friend or family member from future weather and climate extremes. Starting with sharing exciting weather stories, you'll learn the key difference between climate and weather. By investigating satellite images and surface observation maps, you'll understand how weather events come about. Then get ready to dig into data, graphing patterns, and probing cause-and-effect relationships. Climate change will be on the radar, too. By the end of this chapter, you'll be all set to adopt your cities that you&rsquo;ll study during the year and focus on for the project.","Bienvenidos al comienzo de una unidad sobre el clima y el tiempo. Su misión, si deciden aceptarla, es crear una historia fascinante que pueda advertir y proteger a un amigo o familiar de futuros extremos climáticos y meteorológicos. Comenzando con compartir historias emocionantes sobre el clima, aprenderán la diferencia clave entre el clima y el tiempo. Al investigar imágenes de satélite y mapas de observación de la superficie, entenderán cómo se producen los eventos climáticos. Luego, prepárense para profundizar en los datos, graficar patrones y explorar relaciones causa-efecto. El cambio climático también estará en el radar. Al final de este capítulo, estarán listos para adoptar sus ciudades que estudiarán durante el año y enfocarse en ellas para el proyecto."
6,3,2,Weather: Air Pressure and Wind,Clima: Presión del Aire y Viento,"In these lessons, students are introduced to the fundamentals of pressure and wind by studying the phenomenon of sea breeze circulation. They develop and refine a sea breeze circulation model, and then learn and practice the skills necessary to predict and forecast the weather accurately. These skills will be useful when analyzing weather data from their adopted cities.","In this chapter, we&rsquo;ll dive into the fundamentals of pressure and wind, using sea breeze circulation as our model. We&rsquo;ll also explore the art of weather prediction and forecasting. The skills you acquire here will come in handy when you analyze weather data from your adopted cities.","En este capítulo, nos adentraremos en los fundamentos de la presión y el viento, utilizando la circulación de la brisa marina como nuestro modelo. También exploraremos el arte de la predicción y el pronóstico del clima. Las habilidades que adquieran aquí serán útiles cuando analicen los datos meteorológicos de sus ciudades adoptadas."
6,3,3,Weather: The Rotating Earth,Clima: La Tierra en Rotación,"Students now learn about the effects of Earth's rotation, including its influences on migrating birds and on weather and climate. They identify mid-latitude cyclones and search for evidence of cyclones in their weather data. Students then study the fundamentals of pressure and wind and observe a demonstration of cloud formation. They research their adopted cities, examining how weather affects the local community. Unit Concept Checkpoint #1 helps students focus on key concepts. Finally, students analyze the accuracy of their weather forecasts for their adopted cities and improve their forecasting skills.","In this chapter, we'll look into the effects of Earth's rotation, learning how it influences migrating birds and, more importantly, our weather and climate. We'll identify mid-latitude cyclones and look for evidence of these in our weather data. Expect to see a cloud formation demonstration and learn more about wind and pressure. You'll also research how weather impacts the community in your adopted city, and polish your forecasting skills.","En este capítulo, examinaremos los efectos de la rotación de la Tierra, aprendiendo cómo influye en las aves migratorias y, más importante aún, en nuestro clima y tiempo. Identificaremos ciclones de latitudes medias y buscaremos evidencia de estos en nuestros datos meteorológicos. Esperen ver una demostración de formación de nubes y aprender más sobre el viento y la presión. También investigarán cómo el clima afecta a la comunidad en su ciudad adoptada y perfeccionarán sus habilidades de pronóstico."
6,3,4,Climate: Global Pressure Systems,Clima: Sistemas de Presión Global,"Students differentiate between weather and climate, and then begin to study the climates of their adopted cities. Afterwards, students are introduced to the ways large-scale pressure systems can influence climate and use the 3-cell model of the global atmosphere to help explain the climate of their adopted cities.","In this chapter, we&rsquo;ll revisit the difference between weather and climate and look in more detail into the climates of your adopted cities. You'll learn about large-scale pressure systems and their impact on climate, and use the 3-cell model of the global atmosphere to understand your cities' climate better. This information will help us create a science-oriented story about future weather and climate extremes in our adopted cities.","En este capítulo, revisaremos la diferencia entre clima y tiempo y examinaremos con más detalle los climas de sus ciudades adoptadas. Aprenderán sobre los sistemas de presión a gran escala y su impacto en el clima, y utilizarán el modelo de la atmósfera global de 3 células para comprender mejor el clima de sus ciudades. Esta información nos ayudará a crear una historia orientada a la ciencia sobre futuros extremos climáticos y meteorológicos en nuestras ciudades adoptadas."
6,3,5,Climate: Latitude and Altitude,Clima: Latitud y Altitud,"Students now study the influence that a location's latitude and altitude have in determining the local climate. They discover how mountains can influence the weather and climate in different places, and they take a quiz on the factors affecting climate that they have learned so far.",Your exploration of climate continues in this short chapter as we study how latitude and altitude influence local climate. You'll learn how mountains can be climate game-changers and reinforce your knowledge on climate factors through a climate quiz.,Su exploración del clima continúa en este breve capítulo mientras estudiamos cómo la latitud y la altitud influyen en el clima local. Aprenderán cómo las montañas pueden cambiar el clima y reforzarán su conocimiento sobre los factores climáticos a través de un cuestionario sobre el clima.
6,3,6,Climate: Oceans,Clima: Océanos,In this chapter the focus shifts to oceans. Students participate in demonstrations to see how temperature and salinity result in different densities of water. They then apply these concepts to ocean water to understand how differences in temperature and salinity drive ocean currents. An activity that tracks plastic pollution in the ocean helps students to understand the role of Earth's rotation in ocean circulation. ,"In this chapter, we look at the oceans and we'll discover how temperature and salinity create varying water densities, and how this affects ocean currents. There's also an interesting activity where we track plastic pollution in the ocean to understand Earth's rotational effect on ocean circulation.","En este capítulo, miraremos los océanos y descubrirán cómo la temperatura y la salinidad crean diferentes densidades de agua, y cómo esto afecta las corrientes oceánicas. También hay una actividad interesante donde rastrearemos la contaminación plástica en el océano para comprender el efecto rotacional de la Tierra en la circulación oceánica."
6,3,7,Climate Projections and Culminating Project,Proyecciones Climáticas y Proyecto Final,"Students participate in a matching game in which they link sets of data to different cities. They complete Unit Concept Checkpoint #2 and then explore scientific projections of climate change specific to their adopted cities. The cli-fi project involves creating a short story about one of their chosen cities, incorporating information about both its weather and its climate patterns. Finally, students present their cli-fi stories to their peers and turn in their final reports. The unit assessment evaluates student understanding of concepts from across the unit.","Now it&rsquo;s time for the unit challenge. You'll be creating an engaging cli-fi (climate fiction) story, blending facts about your city's weather and climate patterns with a compelling story to help warn someone living in one of your chosen adopted cities about possible future weather and climate extremes. This is the time to put everything together that you&rsquo;ve learned and create a masterpiece! Your story will be one part of a report that discusses and justifies the science behind your story. Telling a compelling story based on science and data may be an effective way of communicating important science with other people. Good luck!","Ahora es el momento del desafío de la unidad. Crearán una historia emocionante de cli-fi (ficción climática), mezclando hechos sobre los patrones climáticos y meteorológicos de su ciudad con una historia convincente para ayudar a advertir a alguien que vive en una de sus ciudades adoptadas sobre posibles futuros extremos climáticos y meteorológicos. ¡Es el momento de poner todo lo que han aprendido y crear una obra maestra! Su historia será una parte de un informe que discute y justifica la ciencia detrás de su historia. Contar una historia convincente basada en la ciencia y los datos puede ser una forma efectiva de comunicar información científica importante a otras personas. ¡Buena suerte!"
6,4,1,Introduction and Reproductive Strategies,Introducción y Estrategias Reproductivas,"Students take a pre-assessment which they later analyze. They investigate a variety of reproductive strategies and learn that organisms must reproduce for the survival of their species. Students study various reproductive methods, and then develop models to explain both sexual and asexual reproduction, as well as how genetic variation occurs within populations. Finally, students look at courtship behaviors to see both how animals select a mate and how these behaviors help animals to survive.","The unit challenge in this section calls for a method to protect a plant or animal species from climate change. To meet this challenge, we'll look into the intriguing domain of reproductive strategies across animal species. This chapter begins by studying different reproductive strategies, emphasizing that reproduction is crucial for transferring genetic information and ensuring species continuity. We'll create models to explain reproductive processes and understand the importance of genetic variation within populations. This exploration leads us to mechanisms that enable organisms to adapt and evolve. Let's get started!","El desafío de la unidad en esta sección requiere un método para proteger una especie vegetal o animal del cambio climático. Para cumplir con este desafío, exploraremos el intrigante mundo de las estrategias reproductivas en diferentes especies animales. Este capítulo comienza estudiando diferentes estrategias reproductivas, enfatizando que la reproducción es crucial para transferir información genética y asegurar la continuidad de las especies. Crearemos modelos para explicar los procesos reproductivos y entender la importancia de la variación genética dentro de las poblaciones. Esta exploración nos lleva a mecanismos que permiten a los organismos adaptarse y evolucionar. ¡Empecemos!"
6,4,2,Animal Behavior and Survival,Comportamiento y Supervivencia Animal,"Students now look at how animals care for their offspring; they will see a clear connection between the care of offspring and the survival of the species. &ldquo;The (Animal) Dating Game&rdquo; is a different way to share new knowledge. Students also consider how climate change may change animal behavior, thus affecting reproduction and the survival of a species. After this work, students present practical and specific actions that can offset the impact of climate change on animals. Unit Concept Checkpoint #1 is completed at the end of this chapter.","This chapter focuses on animal parenting and its crucial role in species survival. We start by examining the connection between parental care and species survival, exploring how animals nurture, protect, and guide their offspring, ensuring their species' future. A fun activity, ""The (Animal) Dating Game,"" introduces us to the fascinating reproductive strategies organisms employ. However, we also investigate how changing environments disrupt crucial mating and breeding patterns, posing survival challenges. The chapter concludes by suggesting practical, specific actions to counter climate change impacts on animals, which will be helpful for the unit challenge - to protect a plant or animal from climate change.","Este capítulo se centra en la crianza de animales y su papel crucial en la supervivencia de las especies. Comenzamos examinando la conexión entre el cuidado parental y la supervivencia de las especies, explorando cómo los animales nutren, protegen y guían a sus crías para garantizar el futuro de sus especies. Una actividad divertida, ""El juego de citas (de animales)"", nos presenta las fascinantes estrategias reproductivas que emplean los organismos. Sin embargo, también investigamos cómo los entornos cambiantes interrumpen patrones cruciales de apareamiento y reproducción, planteando desafíos para la supervivencia. El capítulo concluye sugiriendo acciones prácticas y específicas para contrarrestar los impactos del cambio climático en los animales, lo que será útil para el desafío de la unidad: proteger una planta o animal del cambio climático."
6,4,3,Plant Structures and Survival,Estructuras y Supervivencia de Plantas,"This chapter turns to plants&mdash;plant structures and functions, including the structures involved in plant reproduction. Students conduct experiments on seed dispersal and find evidence to support the claim that plant structures can increase the probability of successful reproduction. Students use scientific reasoning, supported by evidence and data, to prove this claim while considering plants from the same climate zone as one of their adopted cities. This chapter ends in a similar way to the previous chapter&mdash;students will suggest actions that can offset the impact of climate change on plants and their reproduction strategies.         ","Shifting our focus from animals to plants, we continue examining reproduction. We explore how plants ensure their survival and contribute to our natural world's beauty and balance. We conduct seed dispersal experiments, accumulating evidence that supports the claim that plant structures play a pivotal role in this process. We'll study plants from the climate zones of our adopted cities, understanding their specific environmental influences. Similar to the previous chapter, we'll think about climate change's impact and brainstorm actions to mitigate this impact and safeguard plant species' well-being.","Cambiando nuestro enfoque de los animales a las plantas, continuamos examinando la reproducción. Exploramos cómo las plantas aseguran su supervivencia y contribuyen a la belleza y el equilibrio de nuestro mundo natural. Realizamos experimentos de dispersión de semillas, acumulando evidencia que respalda la afirmación de que las estructuras de las plantas desempeñan un papel fundamental en este proceso. Estudiaremos plantas de las zonas climáticas de nuestras ciudades adoptadas, comprendiendo sus influencias ambientales específicas. Al igual que en el capítulo anterior, pensaremos en el impacto del cambio climático y generaremos ideas para mitigar este impacto y salvaguardar el bienestar de las especies vegetales."
6,4,4,Growth and Development of Organisms,Crecimiento y Desarrollo de los Organismos,"Students examine various genetic and environmental factors that affect the growth of organisms. They then research the growth patterns and environments of specific organisms. Afterwards, their findings are presented in a chart and shared for the class to see. This chapter includes Unit Concept Checkpoint #2. ","This chapter deepens our understanding of the genetic and environmental factors influencing organism growth. We study the growth patterns and environments of specific organisms and, in the spirit of scientific collaboration, work with partners to present our findings in a concise chart. This activity aims to improve our communication skills as we gather information from other charts and share our new knowledge in scientific writing, explaining what affects an organism&rsquo;s growth.","Este capítulo profundiza nuestra comprensión de los factores genéticos y ambientales que influyen en el crecimiento de los organismos. Estudiamos los patrones de crecimiento y los entornos de organismos específicos y, en el espíritu de la colaboración científica, trabajamos con socios para presentar nuestros hallazgos en un gráfico conciso. Esta actividad tiene como objetivo mejorar nuestras habilidades de comunicación a medida que recopilamos información de otros gráficos y compartimos nuestro nuevo conocimiento en escritura científica, explicando lo que afecta el crecimiento de un organismo."
