Chapter,Prompt,Option A,Option B,Option C,Option D,Correct Answer,Explanation,DOK Level,TEKS,Source,URL of diagram,Alternate Text to describe the image,Environmentally Themed Question?,Description
6.1.2,Which category does oxygen belong to on the periodic table?,Metal,Nonmetal,Metalloid,Rare Earth Element,B,Oxygen is a nonmetal due to its physical properties and placement on the periodic table.,1,6.6C,TEKS 6.6C,,,,Chapter 6.1.2 -- DOK 1 -- TEKS 6.6C
6.1.2,Identify one property that distinguishes metals from nonmetals.,Conductivity of electricity,Color,Shape,Smell,A,"Metals are good conductors of electricity, while nonmetals are not.",1,6.6C,TEKS 6.6C,,,,Chapter 6.1.2 -- DOK 1 -- TEKS 6.6C
6.1.2,What are the rare Earth elements known for?,Not rusting or reacting with other materials,Being extremely hard,A wide range of behaviors like magnetism,Being liquid at room temperature,C,,2,6.6C,TEKS 6.6C,,,,Chapter 6.1.2 -- DOK 2 -- TEKS 6.6C
6.1.2,What property do metalloids share with both metals and nonmetals?,High electrical conductivity,Malleability,Varying conductivity depending on conditions,Colorfulness,C,Metalloids have intermediate conductivity and can exhibit properties of both metals and nonmetals.,2,6.6C,TEKS 6.6C,,,,Chapter 6.1.2 -- DOK 2 -- TEKS 6.6C
6.1.2,Why are rare Earth elements challenging to mine in large quantities?,Because they are extremely expensive,Because they are highly radioactive,Because they are found in limited quantities and are difficult to extract,Because they are highly corrosive,C,Rare Earth elements are challenging to mine in large quantities because they are found in limited quantities and are difficult to extract.,1,6.6C,TEKS 6.6C,,,,Chapter 6.1.2 -- DOK 1 -- TEKS 6.6C
6.1.2,What distinguishes metals from nonmetals in terms of appearance?,"Metals are usually shiny, while nonmetals are dull in appearance","Metals are always colorful, while nonmetals are typically colorless","Metals are transparent, while nonmetals are opaque",There is no visual difference between metals and nonmetals,A,"Metals generally have a shiny appearance, while nonmetals tend to be dull in appearance.",1,6.6C,TEKS 6.6C,,,,Chapter 6.1.2 -- DOK 1 -- TEKS 6.6C
6.1.2,What property allows metals to be easily shaped and molded?,High electrical conductivity,Malleability,Transparency,Hardness,B,"Metals are malleable, meaning they can be easily shaped or molded without breaking.",1,6.6C,TEKS 6.6C,,,,Chapter 6.1.2 -- DOK 1 -- TEKS 6.6C
6.1.2,Which category of elements is known for being good conductors of electricity?,Metal,Nonmetal,Metalloid,Rare Earth Element,A,,1,6.6C,TEKS 6.6C,,,,Chapter 6.1.2 -- DOK 1 -- TEKS 6.6C
6.1.2,What is an element?,A pure substance that cannot be broken down into simpler substances,A substance made of two or more different elements,A substance with unique physical properties,A substance that conducts thermal and electrical energy,A,An element is defined as a pure substance that cannot be broken down into simpler substances.,1,6.6C,Reading Companion,,,,Chapter 6.1.2 -- DOK 1 -- TEKS 6.6C
6.1.2,What is the purpose of the periodic table?,To organize the elements based on their unique properties,To show the atomic mass of each element,"To classify elements as metals, nonmetals, and metalloids",To group elements by their atomic number,A,The periodic table is a system for arranging the elements based on their unique properties.,2,6.6C,Reading Companion,,,,Chapter 6.1.2 -- DOK 2 -- TEKS 6.6C
6.1.2,What are metals known for?,Conducting thermal and electrical energy and being easily shaped,Melting at low temperatures and being transparent,Not conducting thermal and electrical energy and being easily,Being radioactive and releasing large amounts of energy,A,,1,6.6C,Reading Companion,,,,Chapter 6.1.2 -- DOK 1 -- TEKS 6.6C
6.1.2,Which element is an example of a metal?,Copper (Cu),Oxygen (O),Nitrogen (N),Silicon (Si),A,,1,6.6C,Reading Companion,,,,Chapter 6.1.2 -- DOK 1 -- TEKS 6.6C
6.1.2,What is a property of nonmetals?,They do not conduct thermal and electrical energy.,They can be molded and shaped easily.,They exist as a gas at room temperature.,They conduct electricity well.,D,,2,6.6C,Reading Companion,,,,Chapter 6.1.2 -- DOK 2 -- TEKS 6.6C
6.1.2,What separates the elements at the bottom of the periodic table from the rest?,They have unique properties and are mostly man-made.,They are the heaviest elements.,They have the highest atomic numbers.,They are the rare earth elements.,A,,2,6.6C,Reading Companion,,,,Chapter 6.1.2 -- DOK 2 -- TEKS 6.6C
6.1.2,What is a special property of rare earth elements (REE) that makes them useful in technology?,They have magnetic properties.,They release large amounts of energy.,They can be easily molded and shaped.,They tarnish when exposed to air.,A,,2,6.6C,Reading Companion,,,,Chapter 6.1.2 -- DOK 2 -- TEKS 6.6C
6.1.3,How do igneous rocks form?,From the solidification of molten material,From the compaction of sediments,From the alteration of existing rocks,From the application of heat and pressure,C,Igneous rocks form from the solidification of molten material.,1,6.10C,TEKS 6.10C,,,,Chapter 6.1.3 -- DOK 1 -- TEKS 6.10C
6.1.3,What process is responsible for the formation of metamorphic rocks?,Heat and pressure acting on existing rocks,Melting and solidification of material,Compaction of sediments,Deposition of minerals from solution,D,Metamorphic rocks form due to the application of heat and pressure on existing rocks.,2,6.10C,,,,,Chapter 6.1.3 -- DOK 2 -- TEKS 6.10C
6.1.3,Which type of rock is formed from the accumulation and compaction of sediments?,Sedimentary rock,Igneous rock,Metamorphic rock,Molten rock,A,Sedimentary rocks form from the accumulation and compaction of sediments.,1,6.10C,,,,,Chapter 6.1.3 -- DOK 1 -- TEKS 6.10C
6.1.3,What type of rock forms from the alteration of existing rocks through heat and pressure?,Metamorphic rock,Sedimentary rock,Igneous rock,Molten rock,A,Metamorphic rocks form from the alteration of existing rocks through heat and pressure.,1,6.10C,,,,,Chapter 6.1.3 -- DOK 1 -- TEKS 6.10C
6.1.3,Which type of rock is most likely to contain fossils?,Sedimentary rock,Metamorphic rock,Igneous rock,Molten rock,A,"Sedimentary rocks, due to their formation from accumulated sediments, are most likely to contain fossils.",2,6.10C,,,,,Chapter 6.1.3 -- DOK 2 -- TEKS 6.10C
6.1.3,What is the main process involved in the formation of sedimentary rocks?,Deposition and compaction of sediments,Alteration of existing rocks,Solidification of molten material,Application of heat and pressure,A,Sedimentary rocks form primarily through the deposition and compaction of sediments.,2,6.10C,,,,,Chapter 6.1.3 -- DOK 2 -- TEKS 6.10C
6.1.3,Which type of rock is formed by the cooling and solidification of molten material?,Igneous rock,Sedimentary rock,Metamorphic rock,Molten rock,A,Igneous rocks are formed by the cooling and solidification of molten material.,1,6.10C,,,,,Chapter 6.1.3 -- DOK 1 -- TEKS 6.10C
6.1.3,What type of rock cycle process involves the transformation of sedimentary rock into metamorphic rock?,Heat and pressure,Deposition and compaction,Melting and solidification of material,Alteration of existing rocks,A,The transformation of sedimentary rock into metamorphic rock occurs through the process of heat and pressure.,2,6.10C,,,,,Chapter 6.1.3 -- DOK 2 -- TEKS 6.10C
6.1.3,Which type of rock is most likely to exhibit foliation?,Metamorphic rock,Sedimentary rock,Igneous rock,Molten rock,A,"Metamorphic rocks are most likely to exhibit foliation, a type of layering caused by the alignment of mineral crystals due to pressure.",2,6.10C,,,,,Chapter 6.1.3 -- DOK 2 -- TEKS 6.10C
6.1.3,What is the primary process responsible for the formation of igneous rocks?,Solidification of molten material,Deposition and compaction of sediments,Alteration of existing rocks,Application of heat and pressure,A,Igneous rocks form primarily through the solidification of molten material.,2,6.10C,,,,,Chapter 6.1.3 -- DOK 2 -- TEKS 6.10C
6.1.3,What are the two types of igneous rocks and how do they differ?,"Intrusive, formed below Earth's surface; Extrusive, formed above Earth's surface","Intrusive, formed above Earth's surface; Extrusive, formed below Earth's surface","Granitic, formed below Earth's surface; Basaltic, formed above Earth's surface","Basaltic, formed below Earth's surface; Granitic, formed above Earth's surface",A,"Intrusive igneous rocks form below Earth's surface, resulting in large crystals. Extrusive igneous rocks form above Earth's surface, resulting in tiny or no visible crystals.",3,6.10C,,,,,Chapter 6.1.3 -- DOK 3 -- TEKS 6.10C
6.1.3,Explain how metamorphic rocks differ from other rock types in terms of their formation process.,"Metamorphic rocks form from existing rocks through heat and pressure, resulting in a new substance","Metamorphic rocks form from the cooling of molten material, resulting in a new substance","Metamorphic rocks form from weathering and erosion, resulting in a new substance","Metamorphic rocks form from deposition and compaction, resulting in a new substance",A,"Metamorphic rocks undergo a transformation from existing rocks through heat and pressure, resulting in a new substance. This sets them apart from igneous and sedimentary rocks.",3,6.10C,,,,,Chapter 6.1.3 -- DOK 3 -- TEKS 6.10C
6.1.3,Describe the key characteristics of sedimentary rocks and explain how they form.,Sedimentary rocks are formed from the deposition and compaction of sediments. They often contain fossils and exhibit layering.,"Sedimentary rocks are formed from the cooling of molten material, resulting in visible crystals. They are typically dense and heavy.","Sedimentary rocks are formed from existing rocks through heat and pressure, resulting in a new substance. They are often foliated.","Sedimentary rocks are formed from weathering and erosion, resulting in a new substance. They are typically dense and heavy.",A,"Sedimentary rocks form from the deposition and compaction of sediments, often containing fossils and showing layering. These features are characteristic of sedimentary rocks.",3,6.10C,,,,,Chapter 6.1.3 -- DOK 3 -- TEKS 6.10C
6.1.3,How does the formation process of igneous rocks differ from that of sedimentary rocks?,"Igneous rocks form from the solidification of molten material, while sedimentary rocks form from the deposition and compaction of sediments.","Igneous rocks form from existing rocks through heat and pressure, while sedimentary rocks form from the cooling of molten material.","Igneous rocks form from weathering and erosion, while sedimentary rocks form from the alteration of existing rocks.","Igneous rocks form from the deposition and compaction of sediments, while sedimentary rocks form from the cooling of molten material.",A,"Igneous rocks form from the solidification of molten material, whereas sedimentary rocks form from the deposition and compaction of sediments. This fundamental difference sets the two types of rocks apart.",3,6.10C,,,,,Chapter 6.1.3 -- DOK 3 -- TEKS 6.10C
6.1.3,Explain how metamorphic rocks are different from igneous rocks in terms of their formation process and characteristics.,"Metamorphic rocks form from existing rocks through heat and pressure, resulting in a new substance. They often exhibit foliation. Igneous rocks form from the solidification of molten material, resulting in visible crystals.","Metamorphic rocks form from the cooling of molten material, resulting in visible crystals. Igneous rocks form from existing rocks through heat and pressure, resulting in a new substance. They often exhibit layering.","Metamorphic rocks form from weathering and erosion, resulting in a new substance. They often contain fossils. Igneous rocks form from the deposition and compaction of sediments, resulting in visible crystals.","Metamorphic rocks form from the solidification of molten material, resulting in visible crystals. Igneous rocks form from existing rocks through heat and pressure, resulting in a new substance. They often exhibit foliation.",A,"Metamorphic rocks undergo a transformation from existing rocks through heat and pressure, resulting in a new substance. They also frequently exhibit foliation, which is a key characteristic differentiating them from igneous rocks.",3,6.10C,,,,,Chapter 6.1.3 -- DOK 3 -- TEKS 6.10C
6.1.3,A rock is made with mostly large crystals that grow together. Where did it likely form?,Deep underground,At a volcano,In the ocean,In a sand dune,A,,3,6.10C,Matt's questions,,,,Chapter 6.1.3 -- DOK 3 -- TEKS 6.10C
6.1.3,A rock has many holes in it. Where did it likely form?,Deep underground,At a volcano,In the ocean,In a sand dune,B,,3,6.10C,Matt's questions,,,,Chapter 6.1.3 -- DOK 3 -- TEKS 6.10C
6.1.3,A rock is made of pieces that look glued together but crumble apart easily. Where did it likely form?,Deep underground,At a volcano,In a river,On a mountain top,C,,3,6.10C,Matt's questions,,,,Chapter 6.1.3 -- DOK 3 -- TEKS 6.10C
6.1.3,Why wouldn't igneous rocks include fossils?,Nothing lives near volcanoes that could be preserved as a fossil.,The remains of plants and animals will be melted or burned before they turn into fossils,Rocks will not form layers above dead organisms and so fossils won't form.,Igneous rocks are too young for fossils to form in them.,B,,3,6.10C,Matt's questions,,,,Chapter 6.1.3 -- DOK 3 -- TEKS 6.10C
6.1.4,What is the definition of density?,The measure of mass per unit volume,The measure of weight per unit volume,The measure of volume per unit mass,The measure of volume per unit weight,A,Density is defined as the measure of mass per unit volume. This means how much mass is contained in a given volume.,1,6.6D,,,,,Chapter 6.1.4 -- DOK 1 -- TEKS 6.6D
6.1.4,What is the unit of density in the metric system?,g/cm³,g/mL,g/L,mg/mL,A,The unit of density in the metric system is grams per cubic centimeter (g/cm³). This expresses the mass in grams of a substance within a volume of one cubic centimeter.,1,6.6D,,,,,Chapter 6.1.4 -- DOK 1 -- TEKS 6.6D
6.1.4,"If an object has a higher density than a fluid, what will happen when placed in the fluid?",The object will sink in the fluid,The object will float on the surface of the fluid,The object will get compressed by the fluid,The object will partially dissolve in the fluid,A,"If an object has a higher density than the fluid, it will sink in the fluid. This is because it is denser and therefore heavier than the fluid.",2,6.6D,,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.6D
6.1.4,"During an oil spill, oil floats along the surface of water. What does this tell you about the density of oil?",Oil is denser than water.,Water is denser than oil.,Oil and water must have the same density.,Only water has a density.,B,,2,6.6D,Matt's question,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.6D
6.1.4,Some wood floats when first thrown into water but then sinks after a while. Why?,The density of the wood increased over time.,The density of the wood decreased over time.,The density of the water increased over time.,The density of the water decreased over time.,A,,2,6.6D,Matt's question,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.6D
6.1.4,"A submarine's volume never changes, but it controls whether it sinks or floats by adding water to special tanks inside or emptying the water out of them. What would the submarine driver need to do in order to sink down into the water?",Replace the water in the tanks with air.,Replace the air in the tanks with water.,Move water from tanks in the ceiling into the tanks in the floor.,Eject the tanks out of the submarine.,B,,3,6.6D,Matt's question,,,,Chapter 6.1.4 -- DOK 3 -- TEKS 6.6D
6.1.4,"Submarines carry weapons called torpedos that weigh about 1,000 pounds each. When a submarine shoots out a torpedo, what will happen to the submarine?",The submarine will sink a little deeper because its overall mass goes down.,The submarine will float a little higher because its overall mass decreases.,The submarine will not be affected because its volume does not change,The submarine will not be affected because its mass does not change,B,,3,6.6D,Matt's question,,,,Chapter 6.1.4 -- DOK 3 -- TEKS 6.6D
6.1.4,What is the Earth's innermost layer composed of?,Solid rock,Liquid iron and nickel,Molten lava,Loose soil,B,Liquid iron and nickel form the inner core of the Earth.,2,6.10B,TEKS 6.10B,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.10B
6.1.4,Which layer of the Earth is primarily responsible for generating the planet's magnetic field?,Outer core,Mantle,Crust,Inner core,A,"The outer core, composed of molten iron and nickel, generates Earth's magnetic field through convection currents.",3,6.10B,TEKS 6.10B,,,,Chapter 6.1.4 -- DOK 3 -- TEKS 6.10B
6.1.4,Which layer of the Earth is the thickest?,Mantle,Outer core,Inner core,Crust,A,"The mantle is the thickest layer of the Earth, comprising a significant portion of its volume.",2,6.10B,TEKS 6.10B,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.10B
6.1.4,What is the temperature like in the Earth's inner core?,Extremely cold because it is hidden from the Sun,Similar to the average temperature here at the surface,About as warm as the hottest day in Texas,Almost as hot as the surface of the Sun,D,"The inner core of the Earth is extremely hot, with temperatures reaching thousands of degrees Celsius.",2,6.10B,TEKS 6.10B,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.10B
6.1.4,"Which layer of the Earth is composed of solid rock, but can deform and flow over long periods of time?",Mantle,Crust,Outer core,Inner core,A,"The mantle is composed of solid rock, but it can deform and flow over geological time scales due to high temperatures and pressure.",2,6.10B,TEKS 6.10B,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.10B
6.1.4,What is the composition of the Earth's outer core?,Liquid iron and nickel,Solid rock,Molten lava,Loose soil,A,"The outer core is primarily composed of liquid iron and nickel, creating a molten layer.",2,6.10B,TEKS 6.10B,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.10B
6.1.4,Which layer of the Earth is where tectonic plates are located?,Crust,Mantle,Outer core,Inner core,A,The Earth's tectonic plates are located in the rigid outer layer known as the crust.,2,6.10B,TEKS 6.10B,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.10B
6.1.4,How do scientists study Earth's interior if they can't dig deep enough?,By studying earthquake waves,By drilling deep into the Earth,By using special cameras,By sending robots,A,Scientists study Earth's interior by analyzing earthquake waves that travel through the Earth.,2,6.10B,Reading Companion,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.10B
6.1.4,Why is the inner core solid despite its high temperature?,Pressure from other layers,The Earth's magnetic field,Chemical reactions,Gravity,A,The inner core is solid due to the immense pressure from other layers pushing on it.,2,6.10B,Reading Companion,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.10B
6.1.4,What creates Earth's magnetic field?,Magnetic material in the mantle,Magnetic particles emitted by the Sun,Movement of tectonic plates in the crust,Movement of liquid metal in the outer core,A,The motion of the fluid outer core creates Earth's magnetic field.,2,6.10B,Reading Companion,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.10B
6.1.4,What is the mantle primarily composed of?,Rock,Metal,Water,Rare Earth Elements,A,"The mantle is primarily composed of quartz, iron, and magnesium-rich rocks.",1,6.10B,Reading Companion,,,,Chapter 6.1.4 -- DOK 1 -- TEKS 6.10B
6.1.4,Why does the Earth have layers in its interior?,Rocks on the outside cool and form a crust layer,The magnetic field attracts metal to the center,Denser materials sink to Earth's interior,Pressure from the atmosphere creates layers,C,"Denser materials sink. During Earth's early history, materials were more liquid than they are now and it was easy for denser materials to sink down and less dense ones to float up.",2,6.10B,Matt's questions,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.10B
6.1.4,Imagine a planet made out of just two elements: Sulfur and magnesium. Sulfur's density is 2.07 g/cm^3 while magnesium has a density of 1.74 g/cm^3. Would you expect this planet to have layers?,"Yes, sulfur would be on top and magnesium would be in the interior.","Yes, magnesium would be on top and sulfur would be in the interior.","Yes, there would be many thin layers of one and then the other.","No, the two elements would mix together evenly.",B,"Sulfur is more dense. Just like on Earth, sulfur would sink to the planet's interior and magnesium would 'float' on top.",3,6.10B,Matt's questions,,,,Chapter 6.1.4 -- DOK 3 -- TEKS 6.10B
6.1.4,Why are rare earth elements rare near the surface?,Air destroys them.,They evaporate easily.,Only metalloids are common near the surface.,They are denser than most rocks in Earth's crust.,D,"Rare earth elements are denser than most minerals in the crust. During the early Earth, denser materials sank towards Earth's interior.",2,6.10B,Matt's questions,,,,Chapter 6.1.4 -- DOK 2 -- TEKS 6.10B
6.1.4,"Scenario: Imagine a planet with two unique substances, ""Stellium"" and ""Terranium."" Stellium has a density of 3.2 g/cm³, while Terranium has a density of 2.8 g/cm³. The planet starts as a hot, melted sphere. As it cools and solidifies, what do you expect to observe?",Stellium forms a dense core while Terranium rises to the surface.,Terranium forms a dense core while Stellium rises to the surface.,Both substances mix evenly throughout the planet's structure.,Stellium escapes leaving behind a planet of pure Terranium.,A,"Denser materials sink. Since Stellium has a higher density, it will form a dense core with a second layer of Terranium on top.",3,6.10B,ChatGPT variant on Matt's question,,,,Chapter 6.1.4 -- DOK 3 -- TEKS 6.10B
7.1.1,Imagine that a healthy plant is placed in a chamber with pure oxygen and an appropriate amount of light and water. Would you expect it to grow?,Faster than it grew before,About the same as it grew before,Slower than it grew before,It would likely die,D,Plants require carbon dioxide to survive.,3,General Chapter Question,Matt's questions,,,,Chapter 7.1.1 -- DOK 3 -- TEKS General Chapter Question
7.1.1,"After a large rain storm, a new lake forms. All the small bushes and grass remains underwater for weeks, though the water is shallow enough for light to penetrate down to them. What will happen to the plants' ability to perform photosynthesis?",It will increase because there is more water,It will increase because the plant is shielded from harmful chemicals in the air,It will decrease because the plant will have no access to carbon dioxide,It will decrease because the plant will not be able to release oxygen,C,,3,General Chapter Question,Matt's questions,,,,Chapter 7.1.1 -- DOK 3 -- TEKS General Chapter Question
7.1.1,A greenhouse has an automated system that periodically releases bursts of chemicals to help plants grow. Which chemical would be the best to release into the air?,Oxygen,Carbon Dioxide,Glucose,Nitrogen,B,Plants need carbon dioxide and water to photosynthesize.,3,General Chapter Question,ChatGPT variant on Matt's question,,,,Chapter 7.1.1 -- DOK 3 -- TEKS General Chapter Question
7.1.1,A plant takes in carbon dioxide (CO_2) and releases oxygen (O_2). What happens to the carbon (C)?,The plant stores it in the soil.,The plant releases it from its leaves like sweat.,The plant combines it with other elements to make its food.,The plant build up pure carbon in its stem.,C,The carbon is a key ingredient in glucose and other molecules in the plant.,2,General Chapter Question,Matt's questions,,,,Chapter 7.1.1 -- DOK 2 -- TEKS General Chapter Question
7.1.1,"When sodium (Na) and chlorine (Cl) mix, they form salt (NaCl). Which is considered a compound?",Na,Cl,NaCl,Both Na and Cl,C,"A compound is a substance formed when two or more different elements chemically combine in fixed ratios. In the case of NaCl, one sodium (Na) atom combines with one chlorine (Cl) atom to form a molecule of sodium chloride.",2,7.6A,Matt's question,,,,Chapter 7.1.1 -- DOK 2 -- TEKS 7.6A
7.1.1,"When hydrogen (H) and oxygen (O) combine, they form water (H2O). Which is considered a compound?",H,O,H2O,Just the H2 part of H2O,C,"A compound is a substance formed when two or more different elements chemically combine in fixed ratios. In the case of H2O, two hydrogen (H) atoms combine with one oxygen (O) atom to form a molecule of water.",2,7.6A,ChatGPT variant on Matt's question,,,,Chapter 7.1.1 -- DOK 2 -- TEKS 7.6A
7.1.1,"When carbon (C) and oxygen (O) combine, they form carbon dioxide (CO2). Which is considered a compound?",CO2,C,O,"C, O, and CO2 are all compounds",A,"A compound is a substance formed when two or more different elements chemically combine in fixed ratios. In the case of CO2, one carbon (C) atom combines with two oxygen (O) atoms to form a molecule of carbon dioxide.",2,7.6A,ChatGPT variant on Matt's question,,,,Chapter 7.1.1 -- DOK 2 -- TEKS 7.6A
7.1.1,"When nitrogen (N) and hydrogen (H) combine, they form ammonia (NH3). Which is considered an alement?",N,H,NH3,Both N and H,D,An element is defined as a pure substance that cannot be broken down into simpler substances. Nitrogen and Hydrogen are both elements.,2,7.6A,ChatGPT variant on Matt's question,,,,Chapter 7.1.1 -- DOK 2 -- TEKS 7.6A
7.1.1,The sugar that many people have in their kitchen is made of a compound called sucrose (C11H22O11). Sometimes sugar forms big chunks when it sits in the kitchen for a long time. The chunks are still white and you can easily break them back into smaller pieces that look and taste like sugar again. What do you think the large chunks are made out of?,"Atoms of C, H, and O all broken apart.",Molecules of C22H44O22,Molecules of C11H22O11,Atoms of C11H22 (the O escaped),C,,3,7.6C,Matt's questions,,,,Chapter 7.1.1 -- DOK 3 -- TEKS 7.6C
7.1.1,The main ingredient in the pain medicine aspirin has a chemical formula of C9H8O4. Imagine that you break an aspirin pill into two pieces and one piece is slightly larger than the other. What is the larger half made of?,C4.5H4O2,C9H8O4,C9,H4O2,B,"Both pieces of the aspirin pill have the same properties -- they both help relieve pain. Since no properties have changed, then the chemical formula would be the same",3,7.6C,Matt's questions,,,,Chapter 7.1.1 -- DOK 3 -- TEKS 7.6C
7.1.1,Consider the compound C6H12O6. How many carbon atoms are present in one molecule of this compound?,6,2,8,12,A,,2,7.6B,ChatGPT - TEKS,,,,Chapter 7.1.1 -- DOK 2 -- TEKS 7.6B
7.1.1,"In the chemical formula H2O, what does the '2' represent?",The number of hydrogen atoms,The number of oxygen atoms,The total number of atoms,The molecular weight of water,A,,2,7.6B,ChatGPT - TEKS,,,,Chapter 7.1.1 -- DOK 2 -- TEKS 7.6B
7.1.1,The chemical formula for table salt is NaCl. How many chlorine atoms are in one molecule of salt?,1,2,0,3,A,,2,7.6B,ChatGPT - TEKS,,,,Chapter 7.1.1 -- DOK 2 -- TEKS 7.6B
7.1.1,Which element is represented by the chemical symbol 'Fe' on the periodic table?,Iron,Magnesium,Fluorine,Iodine,A,,2,7.6B,ChatGPT - TEKS,,,,Chapter 7.1.1 -- DOK 2 -- TEKS 7.6B
7.1.1,"In the compound CH3CH2OH (commonly known as ethanol), how many hydrogen atoms are present in one molecule?",3,2,1,6,D,,2,7.6B,ChatGPT - TEKS,,,,Chapter 7.1.1 -- DOK 2 -- TEKS 7.6B
7.1.1,Determine the number of oxygen atoms in a molecule of sulfuric acid (H2SO4).,1,2,3,4,D,,2,7.6B,ChatGPT - TEKS,,,,Chapter 7.1.1 -- DOK 2 -- TEKS 7.6B
7.1.1,How many nitrogen atoms are present in one molecule of ammonium nitrate (NH_4NO_3)?,1,2,4,7,B,,2,7.6B,ChatGPT - TEKS,,,,Chapter 7.1.1 -- DOK 2 -- TEKS 7.6B
